organ_tissue,cell_ontology_class,free_annotation
pancreas,endothelial cell,endothelial/kuppfer
pancreas,endothelial cell,endothelial_cells
pancreas,endothelial cell,endothelium
pancreas,endothelial cell,enodthelial cell
pancreas,fibroblast,endometrial stromal fibbroblast
pancreas,fibroblast,fibroblast
pancreas,fibroblast,fibroblasts
pancreas,fibroblast,stellate/fibroblast
pancreas,fibroblast,uterine fibroblast
pancreas,mast cell,mast cell
pancreas,mast cell,mast_cells
pancreas,mast cell,mast cells
pancreas,myeloid cell,monocyte/macrophage
pancreas,myeloid cell,myeloid cell
pancreas,nk cell,nk cell
pancreas,nk cell,nk cells
pancreas,nk cell,natural killer cell
pancreas,nk cell,natural killer cells
pancreas,nk cell,natural_killar_cells
pancreas,nk cell,proliferating nk cell
pancreas,nk cell,uterine nk cells
pancreas,pancreatic acinar cell,pancreatic acinar cell
pancreas,pancreatic acinar cell,pancreatic acing cell
pancreas,pancreatic alpha cell,pancreatic alpha cell
pancreas,pancreatic beta cell,pancreatic beta cell
pancreas,pancreatic delta cell,pancreatic delta cell
pancreas,pancreatic ductal cell,pancreatic ductal cell
pancreas,pancreatic pp cell,pancreatic pp cell
pancreas,pancreatic stellate cell,pancreatic stellate cell
pancreas,pancreatic stellate cell,pancreatic stellate cell activated
pancreas,pancreatic stellate cell,pancreatic stellate cell quiescent
pancreas,plasma cell,plasma
pancreas,plasma cell,plasma cell
pancreas,plasma cell,plasma cells
pancreas,plasma cell,plasma_cells
pancreas,t cell,areg high t-cell
pancreas,t cell,areg low t-cell
pancreas,t cell,t cell
pancreas,t cell,t cell-low rna
pancreas,t cell,t cells
pancreas,t cell,t lymphocytes
pancreas,t cell,t-cells
pancreas,t cell,t_cells
pancreas,t cell,alpha beta t cell
pancreas,t cell,alpha-beta t cell
prostate,basal cell of prostate epithelium,basal epithelial cell
prostate,"cd8-positive, alpha-beta t cell",cd4 t cell
prostate,"cd8-positive, alpha-beta t cell",cd8 t cell
prostate,cd8b-positive nk t cell,cd8b+ natural killer t-cell
prostate,club cell of prostate epithelium,pigr high club epithelial cell
prostate,club cell of prostate epithelium,scgb3a1 high club epithelial cell
prostate,endothelial cell,endothelial
prostate,endothelial cell,endothelial cell
prostate,endothelial cell,endothelial cells
prostate,endothelial cell,endothelial/kuppfer
prostate,endothelial cell,endothelial_cells
prostate,endothelial cell,endothelium
prostate,endothelial cell,enodthelial cell
prostate,epithelial cell,cycling epithelial cells
prostate,epithelial cell,ltf+ epithelial cell
prostate,epithelial cell,other epithelial cell
prostate,epithelial cell,epithelial cell
prostate,epithelial cell,epithelial cells
prostate,epithelial cell,epithelium_of_tongue_lowquality_tsp7_anterior
prostate,erythroid progenitor,erythroid progenitor cell
prostate,erythroid progenitor,erythroid progenitor
prostate,erythroid progenitor,not-existing
prostate,fibroblast,endometrial stromal fibbroblast
prostate,fibroblast,fibroblast
prostate,fibroblast,fibroblasts
prostate,fibroblast,stellate/fibroblast
prostate,fibroblast,uterine fibroblast
prostate,hillock cell of prostate epithelium,hillock epithelial cell
prostate,hillock-club cell of prostate epithelium,hillock/club epithelial cell
prostate,luminal cell of prostate epithelium,cpe high luminal epithelial cell
prostate,luminal cell of prostate epithelium,cpe low luminal epithelial cell
prostate,luminal cell of prostate epithelium,luminal epithelial cell
prostate,macrophage,macrophage
prostate,macrophage,macrophages
prostate,macrophage,monocyte/macrophage
prostate,macrophage,sorted myeloid
prostate,macrophage,tissue resident macrophage
prostate,mast cell,mast cell
prostate,mast cell,mast_cells
prostate,mast cell,mast cells
prostate,monocyte,monocyte
prostate,monocyte,monocytes
prostate,myeloid cell,monocyte/macrophage
prostate,myeloid cell,myeloid cell
prostate,neutrophil,neutrophil
prostate,nkt cell,nkt cell
prostate,nkt cell,natural killer t-cell
prostate,smooth muscle cell,smooth muscle cell
prostate,smooth muscle cell,smooth muscle cells
prostate,smooth muscle cell,smooth_muscle_cells
prostate,sperm,sperm cell
prostate,stromal cell,stromal
prostate,stromal cell,stromal cell
prostate,stromal cell,stromal cells
prostate,t cell,areg high t-cell
prostate,t cell,areg low t-cell
prostate,t cell,t cell
prostate,t cell,t cell-low rna
prostate,t cell,t cells
prostate,t cell,t lymphocytes
prostate,t cell,t-cells
prostate,t cell,t_cells
prostate,t cell,alpha beta t cell
prostate,t cell,alpha-beta t cell
salivary_gland,acinar cell of salivary gland,mucinous acini
salivary_gland,acinar cell of salivary gland,serous acini
salivary_gland,adventitial cell,adventitial fibroblast
salivary_gland,adventitial cell,adventitial cell
salivary_gland,b cell,b cell
salivary_gland,b cell,b cells
salivary_gland,b cell,b lymphocytes
salivary_gland,b cell,b_cells
salivary_gland,basal cell,basal
salivary_gland,basal cell,basal cell
salivary_gland,basal cell,basal cells
salivary_gland,basal cell,basal_cells_confirmed
salivary_gland,cd4-positive helper t cell,cd4 helper t cell
salivary_gland,"cd4-positive, alpha-beta t cell",cd4 t cell
salivary_gland,"cd8-positive, alpha-beta t cell",cd4 t cell
salivary_gland,"cd8-positive, alpha-beta t cell",cd8 t cell
salivary_gland,duct epithelial cell,ductal
salivary_gland,duct epithelial cell,ductal cell
salivary_gland,endothelial cell,endothelial
salivary_gland,endothelial cell,endothelial cell
salivary_gland,endothelial cell,endothelial cells
salivary_gland,endothelial cell,endothelial/kuppfer
salivary_gland,endothelial cell,endothelial_cells
salivary_gland,endothelial cell,endothelium
salivary_gland,endothelial cell,enodthelial cell
salivary_gland,endothelial cell of lymphatic vessel,lymphatic cells
salivary_gland,endothelial cell of lymphatic vessel,lymphatic endothelial cell
salivary_gland,endothelial cell of lymphatic vessel,lymphatic endothelium
salivary_gland,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
salivary_gland,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
salivary_gland,fibroblast,endometrial stromal fibbroblast
salivary_gland,fibroblast,fibroblast
salivary_gland,fibroblast,fibroblasts
salivary_gland,fibroblast,stellate/fibroblast
salivary_gland,fibroblast,uterine fibroblast
salivary_gland,ionocyte,ionocytes
salivary_gland,ionocyte,ionocyte
salivary_gland,macrophage,macrophage
salivary_gland,macrophage,macrophages
salivary_gland,macrophage,monocyte/macrophage
salivary_gland,macrophage,sorted myeloid
salivary_gland,macrophage,tissue resident macrophage
salivary_gland,memory b cell,memory b cell
salivary_gland,monocyte,monocyte
salivary_gland,monocyte,monocytes
salivary_gland,myoepithelial cell,myoepithelial
salivary_gland,naive b cell,naive b cell
salivary_gland,neutrophil,neutrophil
salivary_gland,nk cell,nk cell
salivary_gland,nk cell,nk cells
salivary_gland,nk cell,natural killer cell
salivary_gland,nk cell,natural killer cells
salivary_gland,nk cell,natural_killar_cells
salivary_gland,nk cell,proliferating nk cell
salivary_gland,nk cell,uterine nk cells
salivary_gland,pericyte cell,pericyte
salivary_gland,pericyte cell,pericytes
salivary_gland,pericyte cell,perivascular
salivary_gland,pericyte cell,pericyte cell
salivary_gland,pericyte cell,pericyte_cell_confirmed
salivary_gland,plasma cell,plasma
salivary_gland,plasma cell,plasma cell
salivary_gland,plasma cell,plasma cells
salivary_gland,plasma cell,plasma_cells
salivary_gland,salivary gland cell,cycling cells
salivary_gland,t cell,areg high t-cell
salivary_gland,t cell,areg low t-cell
salivary_gland,t cell,t cell
salivary_gland,t cell,t cell-low rna
salivary_gland,t cell,t cells
salivary_gland,t cell,t lymphocytes
salivary_gland,t cell,t-cells
salivary_gland,t cell,t_cells
salivary_gland,t cell,alpha beta t cell
salivary_gland,t cell,alpha-beta t cell
skin,cd141-positive myeloid dendritic cell,cd141-positive myeloid dendritic cell
skin,cd1c-positive myeloid dendritic cell,cd1c-positive myeloid dendritic cell
skin,cd4-positive helper t cell,cd4 helper t cell
skin,"cd4-positive, alpha-beta memory t cell",cd4-positive memory t cell
skin,"cd8-positive, alpha-beta cytotoxic t cell",cd8-positive cytotoxic t cells
skin,"cd8-positive, alpha-beta memory t cell",cd8-positive memory t cell
skin,cell of skeletal muscle,skeletal muscle cells
skin,endothelial cell,endothelial
skin,endothelial cell,endothelial cell
skin,endothelial cell,endothelial cells
skin,endothelial cell,endothelial/kuppfer
skin,endothelial cell,endothelial_cells
skin,endothelial cell,endothelium
skin,endothelial cell,enodthelial cell
skin,epithelial cell,cycling epithelial cells
skin,epithelial cell,ltf+ epithelial cell
skin,epithelial cell,other epithelial cell
skin,epithelial cell,epithelial cell
skin,epithelial cell,epithelial cells
skin,epithelial cell,epithelium_of_tongue_lowquality_tsp7_anterior
skin,langerhans cell,langerhans cells
skin,macrophage,macrophage
skin,macrophage,macrophages
skin,macrophage,monocyte/macrophage
skin,macrophage,sorted myeloid
skin,macrophage,tissue resident macrophage
skin,mast cell,mast cell
skin,mast cell,mast_cells
skin,mast cell,mast cells
skin,melanocyte,melanocytes
skin,melanocyte,melanocytes or limbal stem cells
skin,memory b cell,memory b cell
skin,muscle cell,muscle cells
skin,naive b cell,naive b cell
skin,"naive thymus-derived cd4-positive, alpha-beta t cell",naive cd4-positive helper t cells
skin,"naive thymus-derived cd8-positive, alpha-beta t cell",naive cd8-positive t cell
skin,nk cell,nk cell
skin,nk cell,nk cells
skin,nk cell,natural killer cell
skin,nk cell,natural killer cells
skin,nk cell,natural_killar_cells
skin,nk cell,proliferating nk cell
skin,nk cell,uterine nk cells
skin,nkt cell,nkt cell
skin,nkt cell,natural killer t-cell
skin,plasma cell,plasma
skin,plasma cell,plasma cell
skin,plasma cell,plasma cells
skin,plasma cell,plasma_cells
skin,regulatory t cell,regulatory t cell
skin,smooth muscle cell,smooth muscle cell
skin,smooth muscle cell,smooth muscle cells
skin,smooth muscle cell,smooth_muscle_cells
skin,stromal cell,stromal
skin,stromal cell,stromal cell
skin,stromal cell,stromal cells
skin,t cell,areg high t-cell
skin,t cell,areg low t-cell
skin,t cell,t cell
skin,t cell,t cell-low rna
skin,t cell,t cells
skin,t cell,t lymphocytes
skin,t cell,t-cells
skin,t cell,t_cells
skin,t cell,alpha beta t cell
skin,t cell,alpha-beta t cell
small_intestine,b cell,b cell
small_intestine,b cell,b cells
small_intestine,b cell,b lymphocytes
small_intestine,b cell,b_cells
small_intestine,"cd4-positive, alpha-beta t cell",cd4 t cell
small_intestine,"cd8-positive, alpha-beta t cell",cd4 t cell
small_intestine,"cd8-positive, alpha-beta t cell",cd8 t cell
small_intestine,duodenum glandular cell,duodenum glandular cell
small_intestine,enterocyte of epithelium of small intestine,immature enterocyte
small_intestine,enterocyte of epithelium of small intestine,mature enterocyte
small_intestine,fibroblast,endometrial stromal fibbroblast
small_intestine,fibroblast,fibroblast
small_intestine,fibroblast,fibroblasts
small_intestine,fibroblast,stellate/fibroblast
small_intestine,fibroblast,uterine fibroblast
small_intestine,goblet cell,goblet cell
small_intestine,gut endothelial cell,gut endothelial cell
small_intestine,immature enterocyte,immature enterocyte
small_intestine,intestinal crypt stem cell,intestinal crypt stem cell
small_intestine,intestinal crypt stem cell of small intestine,intestinal crypt stem cell
small_intestine,intestinal enteroendocrine cell,intestinal enteroendocrine cell
small_intestine,intestinal tuft cell,intestinal tuft cell
small_intestine,mast cell,mast cell
small_intestine,mast cell,mast_cells
small_intestine,mast cell,mast cells
small_intestine,mature enterocyte,mature enterocyte
small_intestine,monocyte,monocyte
small_intestine,monocyte,monocytes
small_intestine,neutrophil,neutrophil
small_intestine,paneth cell of epithelium of small intestine,paneth cell
small_intestine,paneth cell of epithelium of small intestine,paneth cell of epithelium of small intestine
small_intestine,plasma cell,plasma
small_intestine,plasma cell,plasma cell
small_intestine,plasma cell,plasma cells
small_intestine,plasma cell,plasma_cells
small_intestine,small intestine goblet cell,goblet cell
small_intestine,transit amplifying cell of small intestine,intestinal transient amplifying cell
small_intestine,transit amplifying cell of small intestine,transit amplifying cell of small intestine
spleen,cd141-positive myeloid dendritic cell,cd141-positive myeloid dendritic cell
spleen,cd1c-positive myeloid dendritic cell,cd1c-positive myeloid dendritic cell
spleen,"cd4-positive, alpha-beta memory t cell",cd4-positive memory t cell
spleen,"cd8-positive, alpha-beta memory t cell",cd8-positive memory t cell
spleen,"cd8-positive, alpha-beta t cell",cd4 t cell
spleen,"cd8-positive, alpha-beta t cell",cd8 t cell
spleen,classical monocyte,classical monocyte
spleen,endothelial cell,endothelial
spleen,endothelial cell,endothelial cell
spleen,endothelial cell,endothelial cells
spleen,endothelial cell,endothelial/kuppfer
spleen,endothelial cell,endothelial_cells
spleen,endothelial cell,endothelium
spleen,endothelial cell,enodthelial cell
spleen,erythrocyte,erythrocyte
spleen,erythrocyte,erythrocytes
spleen,hematopoietic stem cell,hematopoietic stem cell
spleen,innate lymphoid cell,innate lymphoid cells
spleen,innate lymphoid cell,innate lymphoid cell
spleen,intermediate monocyte,intermediate monocyte
spleen,macrophage,macrophage
spleen,macrophage,macrophages
spleen,macrophage,monocyte/macrophage
spleen,macrophage,sorted myeloid
spleen,macrophage,tissue resident macrophage
spleen,mature nk t cell,mature nk t cell
spleen,memory b cell,memory b cell
spleen,naive b cell,naive b cell
spleen,"naive thymus-derived cd4-positive, alpha-beta t cell",naive cd4-positive helper t cells
spleen,"naive thymus-derived cd8-positive, alpha-beta t cell",naive cd8-positive t cell
spleen,neutrophil,neutrophil
spleen,nk cell,nk cell
spleen,nk cell,nk cells
spleen,nk cell,natural killer cell
spleen,nk cell,natural killer cells
spleen,nk cell,natural_killar_cells
spleen,nk cell,proliferating nk cell
spleen,nk cell,uterine nk cells
spleen,plasma cell,plasma
spleen,plasma cell,plasma cell
spleen,plasma cell,plasma cells
spleen,plasma cell,plasma_cells
spleen,plasmacytoid dendritic cell,plasmacytoid dendritic cell
spleen,platelet,platelet
spleen,regulatory t cell,regulatory t cell
spleen,type i nk t cell,nk t cell
spleen,type i nk t cell,nkt cell
spleen,type i nk t cell,type i nk t cell
thymus,b cell,b cell
thymus,b cell,b cells
thymus,b cell,b lymphocytes
thymus,b cell,b_cells
thymus,capillary endothelial cell,capillary endothelial cell
thymus,capillary endothelial cell,capillary_endothelial_confirmed
thymus,capillary endothelial cell,vascular capillary endothelial cell
thymus,cd4-positive helper t cell,cd4 helper t cell
thymus,"cd8-positive, alpha-beta cytotoxic t cell",cd8-positive cytotoxic t cells
thymus,"cd8-positive, alpha-beta t cell",cd4 t cell
thymus,"cd8-positive, alpha-beta t cell",cd8 t cell
thymus,dendritic cell,dendritic cell
thymus,dendritic cell,dendritic cells
thymus,dn1 thymic pro-t cell,double negative alpha beta t cell (dn2)
thymus,dn3 thymocyte,double negative alpha beta t cell (dn1)
thymus,dn4 thymocyte,double negative alpha beta t cell effector memory (dn3)
thymus,endothelial cell of artery,artery cells (endothelial cells)
thymus,endothelial cell of artery,endothelial cell of artery
thymus,endothelial cell of artery,endothelial_cell_of_artery_confirmed
thymus,endothelial cell of artery,vascular arterial endothelial cell
thymus,endothelial cell of lymphatic vessel,lymphatic cells
thymus,endothelial cell of lymphatic vessel,lymphatic endothelial cell
thymus,endothelial cell of lymphatic vessel,lymphatic endothelium
thymus,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
thymus,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
thymus,erythrocyte,erythrocyte
thymus,erythrocyte,erythrocytes
thymus,fast muscle cell,fast muscle cell
thymus,fibroblast,endometrial stromal fibbroblast
thymus,fibroblast,fibroblast
thymus,fibroblast,fibroblasts
thymus,fibroblast,stellate/fibroblast
thymus,fibroblast,uterine fibroblast
thymus,immature natural killer cell,immature natural killer cell
thymus,innate lymphoid cell,innate lymphoid cells
thymus,innate lymphoid cell,innate lymphoid cell
thymus,macrophage,macrophage
thymus,macrophage,macrophages
thymus,macrophage,monocyte/macrophage
thymus,macrophage,sorted myeloid
thymus,macrophage,tissue resident macrophage
thymus,mast cell,mast cell
thymus,mast cell,mast_cells
thymus,mast cell,mast cells
thymus,mature nk t cell,mature nk t cell
thymus,medullary thymic epithelial cell,medullary thymic epithelial cell
thymus,memory b cell,memory b cell
thymus,mesothelial cell,mesothelial cell
thymus,monocyte,monocyte
thymus,monocyte,monocytes
thymus,myeloid dendritic cell,myeloid dendritic cells
thymus,naive b cell,naive b cell
thymus,naive regulatory t cell,na?ve regulatory t cell
thymus,nk cell,nk cell
thymus,nk cell,nk cells
thymus,nk cell,natural killer cell
thymus,nk cell,natural killer cells
thymus,nk cell,natural_killar_cells
thymus,nk cell,proliferating nk cell
thymus,nk cell,uterine nk cells
thymus,plasma cell,plasma
thymus,plasma cell,plasma cell
thymus,plasma cell,plasma cells
thymus,plasma cell,plasma_cells
thymus,t follicular helper cell,t follicular helper cell-like
thymus,thymocyte,thymocyte
thymus,vascular associated smooth muscle cell,vascular smooth muscle
thymus,vascular associated smooth muscle cell,vasuclar smooth muscle cell
thymus,vascular associated smooth muscle cell,vascular associated smooth muscle cell
thymus,vein endothelial cell,vein cell (endothelial cell)
thymus,vein endothelial cell,vascular venous endothelial cell
thymus,vein endothelial cell,vein endothelial cell
thymus,vein endothelial cell,vein_endothelial_cell
tongue,basal cell,basal
tongue,basal cell,basal cell
tongue,basal cell,basal cells
tongue,basal cell,basal_cells_confirmed
tongue,capillary endothelial cell,capillary endothelial cell
tongue,capillary endothelial cell,capillary_endothelial_confirmed
tongue,capillary endothelial cell,vascular capillary endothelial cell
tongue,endothelial cell of artery,artery cells (endothelial cells)
tongue,endothelial cell of artery,endothelial cell of artery
tongue,endothelial cell of artery,endothelial_cell_of_artery_confirmed
tongue,endothelial cell of artery,vascular arterial endothelial cell
tongue,endothelial cell of lymphatic vessel,lymphatic cells
tongue,endothelial cell of lymphatic vessel,lymphatic endothelial cell
tongue,endothelial cell of lymphatic vessel,lymphatic endothelium
tongue,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
tongue,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
tongue,epithelial cell,cycling epithelial cells
tongue,epithelial cell,ltf+ epithelial cell
tongue,epithelial cell,other epithelial cell
tongue,epithelial cell,epithelial cell
tongue,epithelial cell,epithelial cells
tongue,epithelial cell,epithelium_of_tongue_lowquality_tsp7_anterior
tongue,fibroblast,endometrial stromal fibbroblast
tongue,fibroblast,fibroblast
tongue,fibroblast,fibroblasts
tongue,fibroblast,stellate/fibroblast
tongue,fibroblast,uterine fibroblast
tongue,immune cell,cycling immune cells
tongue,immune cell,immune_notvalidated
tongue,keratinocyte,tongue_keratinized_epithelium
tongue,pericyte cell,pericyte
tongue,pericyte cell,pericytes
tongue,pericyte cell,perivascular
tongue,pericyte cell,pericyte cell
tongue,pericyte cell,pericyte_cell_confirmed
tongue,schwann cell,schwann_cell
tongue,tongue muscle cell,tongue_muscle_cell
tongue,vein endothelial cell,vein cell (endothelial cell)
tongue,vein endothelial cell,vascular venous endothelial cell
tongue,vein endothelial cell,vein endothelial cell
tongue,vein endothelial cell,vein_endothelial_cell
trachea,b cell,b cell
trachea,b cell,b cells
trachea,b cell,b lymphocytes
trachea,b cell,b_cells
trachea,basal cell,basal
trachea,basal cell,basal cell
trachea,basal cell,basal cells
trachea,basal cell,basal_cells_confirmed
trachea,"cd4-positive, alpha-beta t cell",cd4 t cell
trachea,"cd8-positive, alpha-beta t cell",cd4 t cell
trachea,"cd8-positive, alpha-beta t cell",cd8 t cell
trachea,ciliated cell,ciliated cell
trachea,connective tissue cell,connective tissue cell
trachea,"double-positive, alpha-beta thymocyte",cd4 cd8 t cell
trachea,endothelial cell,endothelial
trachea,endothelial cell,endothelial cell
trachea,endothelial cell,endothelial cells
trachea,endothelial cell,endothelial/kuppfer
trachea,endothelial cell,endothelial_cells
trachea,endothelial cell,endothelium
trachea,endothelial cell,enodthelial cell
trachea,fibroblast,endometrial stromal fibbroblast
trachea,fibroblast,fibroblast
trachea,fibroblast,fibroblasts
trachea,fibroblast,stellate/fibroblast
trachea,fibroblast,uterine fibroblast
trachea,goblet cell,goblet cell
trachea,ionocyte,ionocytes
trachea,ionocyte,ionocyte
trachea,macrophage,macrophage
trachea,macrophage,macrophages
trachea,macrophage,monocyte/macrophage
trachea,macrophage,sorted myeloid
trachea,macrophage,tissue resident macrophage
trachea,mast cell,mast cell
trachea,mast cell,mast_cells
trachea,mast cell,mast cells
trachea,mucus secreting cell,mucus secreting cell
trachea,neutrophil,neutrophil
trachea,plasma cell,plasma
trachea,plasma cell,plasma cell
trachea,plasma cell,plasma cells
trachea,plasma cell,plasma_cells
trachea,secretory cell,secretory cell
trachea,serous cell of epithelium of trachea,serous cell of epithelium of trachea
trachea,smooth muscle cell,smooth muscle cell
trachea,smooth muscle cell,smooth muscle cells
trachea,smooth muscle cell,smooth_muscle_cells
trachea,t cell,areg high t-cell
trachea,t cell,areg low t-cell
trachea,t cell,t cell
trachea,t cell,t cell-low rna
trachea,t cell,t cells
trachea,t cell,t lymphocytes
trachea,t cell,t-cells
trachea,t cell,t_cells
trachea,t cell,alpha beta t cell
trachea,t cell,alpha-beta t cell
trachea,tracheal goblet cell,tracheal goblet cell
uterus,b cell,b cell
uterus,b cell,b cells
uterus,b cell,b lymphocytes
uterus,b cell,b_cells
uterus,ciliated epithelial cell,ciliated epithelium
uterus,endothelial cell,endothelial
uterus,endothelial cell,endothelial cell
uterus,endothelial cell,endothelial cells
uterus,endothelial cell,endothelial/kuppfer
uterus,endothelial cell,endothelial_cells
uterus,endothelial cell,endothelium
uterus,endothelial cell,enodthelial cell
uterus,endothelial cell of lymphatic vessel,lymphatic cells
uterus,endothelial cell of lymphatic vessel,lymphatic endothelial cell
uterus,endothelial cell of lymphatic vessel,lymphatic endothelium
uterus,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
uterus,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
uterus,epithelial cell,cycling epithelial cells
uterus,epithelial cell,ltf+ epithelial cell
uterus,epithelial cell,other epithelial cell
uterus,epithelial cell,epithelial cell
uterus,epithelial cell,epithelial cells
uterus,epithelial cell,epithelium_of_tongue_lowquality_tsp7_anterior
uterus,epithelial cell of uterus,unciliated epithelium
uterus,fibroblast,endometrial stromal fibbroblast
uterus,fibroblast,fibroblast
uterus,fibroblast,fibroblasts
uterus,fibroblast,stellate/fibroblast
uterus,fibroblast,uterine fibroblast
uterus,immune cell,cycling immune cells
uterus,immune cell,immune_notvalidated
uterus,macrophage,macrophage
uterus,macrophage,macrophages
uterus,macrophage,monocyte/macrophage
uterus,macrophage,sorted myeloid
uterus,macrophage,tissue resident macrophage
uterus,myometrial cell,myometrial smooth muscle
uterus,nk cell,nk cell
uterus,nk cell,nk cells
uterus,nk cell,natural killer cell
uterus,nk cell,natural killer cells
uterus,nk cell,natural_killar_cells
uterus,nk cell,proliferating nk cell
uterus,nk cell,uterine nk cells
uterus,pericyte cell,pericyte
uterus,pericyte cell,pericytes
uterus,pericyte cell,perivascular
uterus,pericyte cell,pericyte cell
uterus,pericyte cell,pericyte_cell_confirmed
uterus,t cell,areg high t-cell
uterus,t cell,areg low t-cell
uterus,t cell,t cell
uterus,t cell,t cell-low rna
uterus,t cell,t cells
uterus,t cell,t lymphocytes
uterus,t cell,t-cells
uterus,t cell,t_cells
uterus,t cell,alpha beta t cell
uterus,t cell,alpha-beta t cell
uterus,vascular associated smooth muscle cell,vascular smooth muscle
uterus,vascular associated smooth muscle cell,vasuclar smooth muscle cell
uterus,vascular associated smooth muscle cell,vascular associated smooth muscle cell
vasculature,artery endothelial cell,artery endothelial cell
vasculature,b cell,b cell
vasculature,b cell,b cells
vasculature,b cell,b lymphocytes
vasculature,b cell,b_cells
vasculature,endothelial cell,endothelial
vasculature,endothelial cell,endothelial cell
vasculature,endothelial cell,endothelial cells
vasculature,endothelial cell,endothelial/kuppfer
vasculature,endothelial cell,endothelial_cells
vasculature,endothelial cell,endothelium
vasculature,endothelial cell,enodthelial cell
vasculature,epithelial cell,cycling epithelial cells
vasculature,epithelial cell,ltf+ epithelial cell
vasculature,epithelial cell,other epithelial cell
vasculature,epithelial cell,epithelial cell
vasculature,epithelial cell,epithelial cells
vasculature,epithelial cell,epithelium_of_tongue_lowquality_tsp7_anterior
vasculature,erythrocyte,erythrocyte
vasculature,erythrocyte,erythrocytes
vasculature,fibroblast,endometrial stromal fibbroblast
vasculature,fibroblast,fibroblast
vasculature,fibroblast,fibroblasts
vasculature,fibroblast,stellate/fibroblast
vasculature,fibroblast,uterine fibroblast
vasculature,lymphatic endothelial cell,lymphatic endothelial cell
vasculature,macrophage,macrophage
vasculature,macrophage,macrophages
vasculature,macrophage,monocyte/macrophage
vasculature,macrophage,sorted myeloid
vasculature,macrophage,tissue resident macrophage
vasculature,mast cell,mast cell
vasculature,mast cell,mast_cells
vasculature,mast cell,mast cells
vasculature,nk cell,nk cell
vasculature,nk cell,nk cells
vasculature,nk cell,natural killer cell
vasculature,nk cell,natural killer cells
vasculature,nk cell,natural_killar_cells
vasculature,nk cell,proliferating nk cell
vasculature,nk cell,uterine nk cells
vasculature,pericyte cell,pericyte
vasculature,pericyte cell,pericytes
vasculature,pericyte cell,perivascular
vasculature,pericyte cell,pericyte cell
vasculature,pericyte cell,pericyte_cell_confirmed
vasculature,plasma cell,plasma
vasculature,plasma cell,plasma cell
vasculature,plasma cell,plasma cells
vasculature,plasma cell,plasma_cells
vasculature,smooth muscle cell,smooth muscle cell
vasculature,smooth muscle cell,smooth muscle cells
vasculature,smooth muscle cell,smooth_muscle_cells
vasculature,t cell,areg high t-cell
vasculature,t cell,areg low t-cell
vasculature,t cell,t cell
vasculature,t cell,t cell-low rna
vasculature,t cell,t cells
vasculature,t cell,t lymphocytes
vasculature,t cell,t-cells
vasculature,t cell,t_cells
vasculature,t cell,alpha beta t cell
vasculature,t cell,alpha-beta t cell
